category,mean,min,max,count
CONSTRUCTION,0.2610150016857332,0.05597058282261191,0.5572154870487613,112
BUSINESS-DEVELOPMENT,0.256330662513793,0.0,0.4630527305751833,120
FINANCE,0.24988853076766576,0.06034754631193913,0.5041608093168892,118
CHEF,0.2371551093368373,0.03243432548659204,0.4625529931598938,118
HR,0.22064513189692248,0.07818042332255928,0.43171738232894014,110
PUBLIC-RELATIONS,0.21370408335596763,0.03444878142214929,0.5214532949306802,111
TEACHER,0.19934491009460828,0.046833163303454974,0.4254386301300232,102
DIGITAL-MEDIA,0.19202300332006017,0.02619314885004939,0.4412025874468271,96
FITNESS,0.19192617038124563,0.04116705400194652,0.47273520853543716,117
INFORMATION-TECHNOLOGY,0.18378476081573814,0.04260277501465842,0.3395190444537446,120
BANKING,0.1829852514738695,0.03732904704152651,0.48099832110758617,115
SALES,0.16973004710791995,0.04471435682283949,0.3699603628947761,116
DESIGNER,0.16443595719368687,0.018353193029372796,0.43445155810579134,107
CONSULTANT,0.1529178427379316,0.03847398552436228,0.3536898464214702,115
AUTOMOBILE,0.15228016125506771,0.0275243666349773,0.3318581717597448,36
BPO,0.1510821213443185,0.054247723956527605,0.3597632657988256,22
AVIATION,0.14965443756181765,0.02305232131650253,0.41565129528823774,116
ENGINEERING,0.1349157878989863,0.04322988653133802,0.3023268100926009,118
ACCOUNTANT,0.11897641120975039,0.027355984431303507,0.42514372867812555,118
HEALTHCARE,0.11541974966720203,0.03591871142998125,0.42634479015017884,115
ARTS,0.09395932055107331,0.01627969657670018,0.25245383468982846,103
AGRICULTURE,0.09167490499602064,0.033306726814499255,0.21260883112172466,63
ADVOCATE,0.08342258214389486,0.02906292919712943,0.19177862972809326,117
